EmpID;GenderID;EmpStatusID;DeptID;PerfScoreID;FromDiversityJobFairID;PayRate;Termd;PositionID;Position;Oficina;DOB;Sex;DateofHire;DateofTermination;TermReason;EmploymentStatus;Department;ManagerID;origen_contratacion;PerformanceScore;EngagementSurvey;EmpSatisfaction;SpecialProjectsCount;LastPerformanceReview_Date;DaysLateLast30
1103024456.0;0.0;1.0;1.0;3.0;1.0;28.5;0.0;1.0;Accountant I;Madrid;11/24/87;F;10/27/2008;;N/A - still employed;Active;Admin Offices;1.0;FeriaEmpleo;Acorde;2.04;2.0;6.0;1/15/2019;0.0
1106026572.0;1.0;1.0;1.0;3.0;0.0;23.0;0.0;1.0;Accountant I;Madrid;04/26/84;M ;01/06/2014;;N/A - still employed;Active;Admin Offices;1.0;SitioWeb;Acorde;5.0;4.0;4.0;1/17/2019;0.0
1302053333.0;1.0;1.0;1.0;3.0;0.0;29.0;0.0;1.0;Accountant I;Madrid;09/01/1986;M ;9/29/2014;;N/A - still employed;Active;Admin Offices;1.0;Linkedin;Acorde;3.9;5.0;5.0;1/18/2019;0.0
1211050782.0;0.0;1.0;1.0;3.0;0.0;21.5;1.0;2.0;Administrative Assistant;Madrid;09/16/85;F;2/16/2015;04/15/15;;Terminated for Cause;Admin Offices;1.0;Anuncio;Acorde;3.24;3.0;4.0;;
1307059817.0;0.0;1.0;1.0;3.0;0.0;16.56;0.0;2.0;Administrative Assistant;Madrid;05/19/88;F;05/01/2015;;N/A - still employed;Active;Admin Offices;1.0;SitioWeb;Acorde;5.0;3.0;5.0;1/15/2019;0.0
711007713.0;0.0;5.0;1.0;3.0;1.0;20.5;1.0;2.0;Administrative Assistant;Madrid;06/14/87;F;9/26/2011;09/25/13;career change;Voluntarily Terminated;Admin Offices;1.0;FeriaEmpleo;Acorde;3.8;4.0;4.0;;
1504073368.0;0.0;5.0;6.0;3.0;0.0;55.0;1.0;3.0;Area Sales Manager;Madrid;06/01/1964;F;8/15/2011;08/02/2014;Another position;Voluntarily Terminated;Sales;17.0;Linkedin;Acorde;3.14;5.0;0.0;;
1403065721.0;0.0;1.0;6.0;3.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;05/15/63;F;8/18/2014;;N/A - still employed;Active;Sales;17.0;Anuncio;Acorde;5.0;5.0;0.0;1/21/2019;0.0
1408069481.0;0.0;1.0;6.0;1.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;05/14/87;F;2/20/2012;;N/A - still employed;Active;Sales;17.0;SitioWeb;Bajo;2.3;1.0;0.0;1/29/2019;0.0
1306059197.0;1.0;1.0;6.0;3.0;0.0;56.0;0.0;3.0;Area Sales Manager;Madrid;09/14/88;M ;8/18/2014;;N/A - still employed;Active;Sales;17.0;Anuncio;Acorde;3.6;5.0;0.0;1/30/2019;0.0
1204032843.0;1.0;1.0;6.0;3.0;1.0;55.5;0.0;3.0;Area Sales Manager;Madrid;02/24/69;M ;03/07/2011;;N/A - still employed;Active;Sales;17.0;FeriaEmpleo;Acorde;3.65;5.0;0.0;1/17/2019;0.0
1302053046.0;0.0;4.0;6.0;3.0;0.0;55.0;1.0;3.0;Area Sales Manager;Madrid;07/10/1971;F;07/07/2014;09/05/2015;attendance;Terminated for Cause;Sales;17.0;infojobs;Acorde;3.97;4.0;0.0;;
1411071481.0;1.0;1.0;6.0;3.0;0.0;55.5;0.0;3.0;Area Sales Manager;Madrid;10/12/1954;M ;05/12/2014;;N/A - still employed;Active;Sales;17.0;infojobs;Acorde;3.98;3.0;0.0;1/28/2019;0.0
1001167253.0;1.0;5.0;6.0;3.0;0.0;55.0;1.0;3.0;Area Sales Manager;Madrid;02/09/1969;M ;03/07/2011;10/31/14;relocation out of area;Voluntarily Terminated;Sales;17.0;periodico;Acorde;4.5;5.0;0.0;;
1412071660.0;1.0;1.0;6.0;3.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;12/27/88;M ;4/30/2012;;N/A - still employed;Active;Sales;17.0;SitioWeb;Acorde;4.53;3.0;0.0;1/29/2019;0.0
1306057978.0;1.0;1.0;6.0;1.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;11/02/1975;M ;9/29/2014;;N/A - still employed;Active;Sales;17.0;Linkedin;Bajo;1.93;3.0;0.0;1/30/2019;0.0
812011761.0;1.0;1.0;6.0;3.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;05/19/82;M ;01/05/2015;;N/A - still employed;Active;Sales;17.0;SitioWeb;Acorde;5.0;5.0;0.0;1/14/2019;0.0
1411071295.0;0.0;1.0;6.0;3.0;0.0;54.0;0.0;3.0;Area Sales Manager;Madrid;05/12/1989;F;9/27/2010;;N/A - still employed;Active;Sales;17.0;Universidad;Acorde;2.0;4.0;0.0;1/31/2019;0.0
1312063714.0;0.0;1.0;6.0;3.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;05/23/91;F;07/05/2011;;N/A - still employed;Active;Sales;17.0;Otro;Acorde;2.81;3.0;0.0;1/17/2019;0.0
1111030503.0;1.0;1.0;6.0;3.0;0.0;56.0;0.0;3.0;Area Sales Manager;Madrid;07/11/1989;M ;03/05/2012;;N/A - still employed;Active;Sales;17.0;SitioWeb;Acorde;1.77;4.0;0.0;1/18/2019;0.0
1504073313.0;1.0;1.0;6.0;3.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;07/07/1975;M ;9/29/2014;;N/A - still employed;Active;Sales;21.0;Ref_empleado;Acorde;3.31;5.0;0.0;1/28/2019;0.0
1409070567.0;0.0;1.0;6.0;4.0;0.0;55.0;0.0;3.0;Area Sales Manager;Madrid;11/08/1988;F;01/10/2011;;N/A - still employed;Active;Sales;21.0;Otro;Excede;4.77;5.0;0.0;1/27/2019;0.0
